Sección,Calificación,Cantidad de alumnos con esa calificación,Edad
speak 1,Pre - A1,27,11
speak 1,A1,16,11
speak 1,A2,3,11
speak 2,Pre - A1,25,11
speak 2,A1,18,11
speak 2,A2,3,11
reading,Pre - A1,4,11
reading,A1 -,9,11
reading,A1,21,11
reading,A1 +,3,11
reading,A2 -,6,11
reading,A2,2,11
reading,A2 +,1,11
listening,Pre - A1,1,11
listening,A1 -,3,11
listening,A1,15,11
listening,A1 +,22,11
listening,A2 -,1,11
listening,A2,2,11
listening,A2 +,1,11
speak 1,Pre - A1,3,10
speak 1,A1,1,10
speak 1,A2,0,10
speak 2,Pre - A1,3,10
speak 2,A1,1,10
speak 2,A2,0,10
reading,Pre - A1,0,10
reading,A1 -,0,10
reading,A1,2,10
reading,A1 +,1,10
reading,A2 -,1,10
reading,A2,0,10
reading,A2 +,0,10
listening,Pre - A1,0,10
listening,A1 -,1,10
listening,A1,1,10
listening,A1 +,0,10
listening,A2 -,1,10
listening,A2,0,10
listening,A2 +,1,10
speak 1,Pre - A1,0,12
speak 1,A1,0,12
speak 1,A2,2,12
speak 2,Pre - A1,0,12
speak 2,A1,1,12
speak 2,A2,1,12
reading,Pre - A1,0,12
reading,A1 -,0,12
reading,A1,2,12
reading,A1 +,0,12
reading,A2 -,0,12
reading,A2,0,12
reading,A2 +,0,12
listening,Pre - A1,0,12
listening,A1 -,0,12
listening,A1,1,12
listening,A1 +,0,12
listening,A2 -,1,12
listening,A2,0,12
listening,A2 +,0,12
